City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
252,quellon,-43.1167,-73.6167,44.85,93,75,4.61,CL,1687761953
253,mingguang,32.7802,117.9638,85.44,57,79,11.27,CN,1687761954
254,sete,43.4018,3.6966,82.26,61,1,16.91,FR,1687761954
255,kingston,17.997,-76.7936,83.35,79,20,9.22,JM,1687761783
256,yeniseysk,58.4497,92.1703,64.2,43,100,6.78,RU,1687761955
257,kerikeri,-35.2268,173.9474,52.79,94,15,5.39,NZ,1687761956
258,yaren,-0.5472,166.916,82.04,72,78,3.91,NR,1687761956
259,greenville,35.6127,-77.3663,76.95,88,0,6.91,US,1687761956
260,auki,-8.7676,160.7034,78.73,73,74,10.63,SB,1687761957
261,brandon,27.9378,-82.2859,80.51,84,0,3.44,US,1687761694
262,yerkoy,39.6381,34.4672,78.24,34,0,1.28,TR,1687761958
263,bereznik,62.8551,42.7072,73.67,42,25,6.98,RU,1687761959
264,al mayadin,35.0209,40.4535,94.06,16,0,12.53,SY,1687761959
265,tarija,-21.5355,-64.7296,59.13,23,0,3.4,BO,1687761876
266,east london,-33.0153,27.9116,58.14,100,100,12.66,ZA,1687761960
267,igarka,67.4667,86.5833,57.13,42,93,13.02,RU,1687761961
268,susuman,62.7833,148.1667,76.3,47,100,30.98,RU,1687761961
269,fort-shevchenko,44.5086,50.263,78.62,59,10,17.43,KZ,1687761962
270,wajir,1.7471,40.0573,80.56,65,75,14.97,KE,1687761962
271,torghay,49.6339,63.4981,70.45,50,16,25.26,KZ,1687761962
272,pirenopolis,-15.8525,-48.9592,61.29,60,59,6.02,BR,1687761963
273,vorkuta,67.5,64.0,55.26,79,100,8.01,RU,1687761963
274,los angeles,34.0522,-118.2437,65.91,78,0,6.91,US,1687761401
275,imperatriz,-5.5264,-47.4917,73.45,78,0,2.3,BR,1687761964
276,mersing,2.4312,103.8405,91.31,70,40,6.91,MY,1687761964
277,annaba,36.9,7.7667,71.56,83,20,5.75,DZ,1687761965
278,whistler,50.1164,-122.9695,56.55,90,3,0.94,CA,1687761900
279,imbituba,-28.24,-48.6703,69.85,83,40,3.58,BR,1687761966
280,betio village,1.358,172.9211,84.24,79,14,4.36,KI,1687761966
281,mandera,3.9366,41.867,79.21,60,100,18.45,KE,1687761967
282,kharkhorin,47.1975,102.8238,74.82,26,38,11.21,MN,1687761967
283,ponta delgada,37.7333,-25.6667,66.92,82,20,6.91,PT,1687761967
284,uturoa,-16.7333,-151.4333,81.14,68,3,16.17,PF,1687761969
285,wafangdian,39.6183,122.0081,65.66,90,100,8.14,CN,1687761969
286,san juan de miraflores,-12.1629,-76.9635,66.72,84,68,5.61,PE,1687761970
287,praia,14.9215,-23.5087,75.74,73,40,8.05,CV,1687761970
288,mary,37.0,62.5,95.29,11,0,13.35,TM,1687761971
289,son la,21.3167,103.9,84.94,63,31,3.96,VN,1687761971
290,axim,4.8699,-2.2405,75.97,76,100,9.62,GH,1687761972
291,ouesso,1.6136,16.0517,71.82,96,97,2.13,CG,1687761972
292,quesnel,52.9999,-122.5029,59.5,77,0,0.0,CA,1687761737
293,arkalyk,50.2486,66.9114,72.81,37,98,29.01,KZ,1687761973
294,opuwo,-18.0607,13.84,61.65,41,4,1.63,NA,1687761973
295,san fernando de apure,7.8878,-67.4724,73.04,98,100,2.95,VE,1687761974
296,longyearbyen,78.2186,15.6401,42.64,75,75,11.5,SJ,1687761974
